customer_id,customer_name,email,location,registration_date
1,Philippe de la Regnier,margaud85@example.com,De Oliveira,2025-05-13
2,Françoise Fischer,jacques90@example.net,Sainte ChristineVille,2025-04-26
3,Zoé Bailly Le Robert,fpeltier@example.com,Renaud-sur-Peron,2025-04-23
4,William Marty-Moreno,jacques21@example.net,Bouchetdan,2025-05-16
5,Susan Payet-Sanchez,lamyaudrey@example.net,Garnier,2025-05-01
6,Michèle Bouvet,pauline85@example.net,Bruneau,2025-04-30
7,Arthur Weber,agathepineau@example.org,Diallo-sur-Wagner,2025-04-30
8,Théophile Neveu,clemence96@example.org,MeunierBourg,2025-04-27
9,Pauline Boyer,huetmargaux@example.net,Chevalier,2025-05-16
10,Alfred Petit,diazremy@example.com,LecomteBourg,2025-04-26
11,Nathalie du Didier,bouvetbertrand@example.org,Legendre-les-Bains,2025-05-14
12,Daniel Pineau,jeromeroger@example.com,Le Goff,2025-05-16
13,Dominique-Denise Albert,alphonse63@example.org,Perrotdan,2025-05-21
14,Arthur-Noël Weber,fschneider@example.com,Guibert,2025-05-10
15,Édouard-Hugues Laporte,theophile27@example.net,Garnier,2025-04-25
16,David Salmon,madeleineboulanger@example.net,Nguyen,2025-05-11
17,Henri Charles,maryseda-costa@example.com,Bonneau,2025-05-06
18,Julie de la Dumont,cecilemerle@example.com,Saint Agnès,2025-04-24
19,Richard du Thomas,henriette81@example.com,Charrier-les-Bains,2025-04-23
20,Thierry Paris,susanpineau@example.com,Joubert-les-Bains,2025-04-25
21,Élisabeth Bourgeois,josephineparent@example.org,Bousquetnec,2025-04-29
22,Roger Sauvage,bernardremy@example.com,Lambert,2025-04-30
23,Zoé Moreno de Lombard,robertgarnier@example.net,Rodriguez-les-Bains,2025-05-09
24,Alain Charrier-Besson,didiergilles@example.com,Sainte Cécile,2025-05-12
25,Zacharie Caron,adrienne16@example.org,Potier-sur-Bernard,2025-04-23
26,Bernard Durand,juleslegendre@example.net,Pagesdan,2025-05-10
27,Sylvie Ferreira-Guyon,clesage@example.org,Petit-sur-Benard,2025-04-29
28,Claire Auger,helene52@example.com,Lemonnier-sur-Mer,2025-05-15
29,Odette Coste-Olivier,marie38@example.com,Lacombe-sur-Lecoq,2025-05-13
30,Thibault Lecoq,nvidal@example.net,Blanchard,2025-05-15
31,Jean Mace-Vincent,jacqueline22@example.org,Hamon,2025-05-10
32,Célina-Louise Fabre,moulinalexandria@example.net,Rémy,2025-05-06
33,Yves-Laurent Diaz,aimeribeiro@example.com,Maillard-sur-Collet,2025-04-30
34,Capucine du Jacquet,charleschristelle@example.org,Sainte Martinenec,2025-05-07
